Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,300,3600.00,USD,
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,74.83,897.96,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,369,4428.00,USD,Number of Elastic Network Interfaces (4)
My Estimate,US East (N. Virginia),,S3 Standard,0,117.76,1413.12,USD,S3 Standard storage (5 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,1594.71,19136.52,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Provisioning IOPS (1000), Instance type (t3a.2xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,4660.496,55925.95,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No UpFront), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (100 GB), Additional backup storage (10 TB), Provisioning IOPS (1000)"
My Estimate,US East (N. Virginia),,Network Load Balancer,0,20.81,249.72,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (1 GB per hour), Average number of new TCP connections (100 per second), Processed bytes per NLB for TLS (0 GB per hour), Average number of new TLS connections ( per second)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,1767.58,21210.96,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Provisioning IOPS (1000), Instance type (m4.2xlarge)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
